scrape_id,store,product_name,current_price,original_price,currency,brand,product_type,category,subcategory,weight_value,weight_unit,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Afia Sunflower Oil,474.95,,EGP,Afia,Sunflower Oil,Oil,Sunflower Oil,4.5,L,https://seoudisupermarket.com/en/afia-sunflower-oil-4-5-liters,In Stock,,2026-09-14 18:21:26.070169
2,Seoudi Supermarket,Wadi Food Virgin Olive Oil,824.75,,EGP,Wadi Food,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/wadi-food-virgin-olive-oil-1-liter-with-500-ml,In Stock,,2026-09-14 18:21:26.084169
3,Seoudi Supermarket,Seoudi Extra Virgin Olive Oil,699.0,,EGP,Seoudi,Olive Oil,Oil,Olive Oil,750.0,ml,https://seoudisupermarket.com/en/seoudi-extra-virgin-olive-oil-750-ml,In Stock,,2026-09-14 18:21:26.085170
4,Seoudi Supermarket,Seoudi Extra Virgin Olive Oil,279.0,,EGP,Seoudi,Olive Oil,Oil,Olive Oil,250.0,ml,https://seoudisupermarket.com/en/seoudi-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.086169
5,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Plastic Bottle",609.95,,EGP,Zitouna,Olive Oil,Oil,Olive Oil,1.0,L,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-plastic-bottle-1-liter,In Stock,,2026-09-14 18:21:26.088168
6,Seoudi Supermarket,King Rice Bran Oil,519.95,,EGP,King,Rice Bran Oil,Oil,Rice Bran Oil,2.0,L,https://seoudisupermarket.com/en/king-rice-bran-oil-2-liter,In Stock,,2026-09-14 18:21:26.089171
7,Seoudi Supermarket,Qaleya Cooking Oil,57.0,64.0,EGP,Qaleya,Cooking Oil,Oil,Cooking Oil,700.0,ml,https://seoudisupermarket.com/en/qaleya-cooking-oil-700-ml,In Stock,,2026-09-14 18:21:26.090170,11.0
8,Seoudi Supermarket,Marvel Greek Olive Oil,399.95,,EGP,Marvel,Olive Oil,Oil,Olive Oil,500.0,ml,https://seoudisupermarket.com/en/marvel-greek-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.091172
9,Seoudi Supermarket,Crystal Corn Oil,210.25,,EGP,Crystal,Corn Oil,Oil,Corn Oil,1.6,L,https://seoudisupermarket.com/en/crystal-corn-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.092168
10,Seoudi Supermarket,"Zitouna Excellent Olive Oil, Glass Bottle",327.95,,EGP,Zitouna,Olive Oil,Oil,Olive Oil,500.0,ml,https://seoudisupermarket.com/en/zitouna-excellent-olive-oil-glass-bottle-500-ml,In Stock,,2026-09-14 18:21:26.093173
11,Seoudi Supermarket,Afia Sunflower Oil,77.25,,EGP,Afia,Sunflower Oil,Oil,Sunflower Oil,700.0,ml,https://seoudisupermarket.com/en/afia-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:26.094168
12,Seoudi Supermarket,Crystal Sunflower Oil,237.25,,EGP,Crystal,Sunflower Oil,Oil,Sunflower Oil,2.2,L,https://seoudisupermarket.com/en/crystal-sunflower-oil-2-2-liter,In Stock,,2026-09-14 18:21:26.095170
