scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Dutch Light Gouda Cheese,106.88 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/dutch-light-gouda-cheese,In Stock,,2026-09-14 18:45:46.491557,
2,Seoudi Supermarket,Goat Gouda Cheese Roquefort,218.63 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/goat-gouda-cheese-roquefort,In Stock,,2026-09-14 18:45:46.496555,
3,Seoudi Supermarket,Dodoni Halloumi Cheese with Basil - 225 g,250 EGP,,,Cheese & Labneh,,225.0,g,,EGP,https://seoudisupermarket.com/en/dodoni-halloumi-cheese-with-basil-225-g,In Stock,,2026-09-14 18:45:46.496555,
4,Seoudi Supermarket,Dodoni Halloumi Cheese with Chili Pepper - 225 g,250 EGP,,,Cheese & Labneh,,225.0,g,,EGP,https://seoudisupermarket.com/en/dodoni-halloumi-cheese-with-chili-pepper-225-g,In Stock,,2026-09-14 18:45:46.497555,
5,Seoudi Supermarket,Almarai Feta Cheese - 1 kg,92.95 EGP,,,Cheese & Labneh,,1.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D8%B9%D9%89-%D8%AC%D8%A8%D9%86%D8%A9-%D9%81%D9%8A%D8%AA%D8%A7-1-%D9%83%D8%AC%D9%85,In Stock,,2026-09-14 18:45:46.498555,
6,Seoudi Supermarket,Yopolis Istanbuli Cheese Free from Vegetable Oils - 450 g,114.75 EGP,,,Cheese & Labneh,,450.0,g,135 EGP,EGP,https://seoudisupermarket.com/en/yopolis-istanbuli-cheese-free-from-vegetable-oils-450-g,In Stock,,2026-09-14 18:45:46.499555,- 15%
7,Seoudi Supermarket,Yopolis Baramili Cheese Free from Vegetable Oils - 450 g,114.75 EGP,,,Cheese & Labneh,,450.0,g,135 EGP,EGP,https://seoudisupermarket.com/en/yopolis-baramili-cheese-free-from-vegetable-oils-450-g,In Stock,,2026-09-14 18:45:46.500557,- 15%
8,Seoudi Supermarket,Yopolis Double Cream Cheese Free from Vegetable Oils - 450 g,125 EGP,,,Cheese & Labneh,,450.0,g,150 EGP,EGP,https://seoudisupermarket.com/en/yopolis-double-cream-cheese-free-from-vegetable-oils-450-g,In Stock,,2026-09-14 18:45:46.501556,- 17%
9,Seoudi Supermarket,Yopolis Feta Cheese Free from Vegetable Oils - 450 g,114.75 EGP,,,Cheese & Labneh,,450.0,g,135 EGP,EGP,https://seoudisupermarket.com/en/yopolis-feta-cheese-free-from-vegetable-oils-450-g,In Stock,,2026-09-14 18:45:46.502556,- 15%
10,Seoudi Supermarket,Domty Burger Flavored Cheddar Cheese Sauce - 250 g,72.95 EGP,,,Cheese & Labneh,,250.0,g,83.95 EGP,EGP,https://seoudisupermarket.com/en/domty-burger-flavored-cheddar-cheese-sauce-250-g,In Stock,,2026-09-14 18:45:46.503557,- 13%
11,Seoudi Supermarket,Domty Smoked Cheddar Cheese Sauce - 250 g,72.95 EGP,,,Cheese & Labneh,,250.0,g,83.95 EGP,EGP,https://seoudisupermarket.com/en/domty-smoked-cheddar-cheese-sauce-250-g,In Stock,,2026-09-14 18:45:46.503557,- 13%
12,Seoudi Supermarket,Valley Cheddar Cheese Slices - 10 Pieces,135 EGP,,,Cheese & Labneh,,,,,EGP,https://seoudisupermarket.com/en/%D9%81%D8%A7%D9%84%D9%89-%D8%AC%D8%A8%D9%86%D8%A9-%D8%B4%D9%8A%D8%AF%D8%B1%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD10%D9%82,In Stock,,2026-09-14 18:45:46.504557,
13,Seoudi Supermarket,Blue River Cheddar Cheese with Pepper Slices - 10 Pieces,153 EGP,,,Cheese & Labneh,,,,,EGP,https://seoudisupermarket.com/en/%D8%A8%D9%84%D9%88-%D8%B1%D9%8A%D9%81%D8%B1%D8%AC%D8%A8%D9%86%D8%A9-%D8%B4%D9%8A%D8%AF%D8%B1%D9%81%D9%84%D9%81%D9%84-%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD10%D9%82,In Stock,,2026-09-14 18:45:46.505559,
14,Seoudi Supermarket,Blue River Smoked Cheddar Cheese Slices - 10 Pieces,153 EGP,,,Cheese & Labneh,,,,,EGP,https://seoudisupermarket.com/en/%D8%A8%D9%84%D9%88-%D8%B1%D9%8A%D9%81%D8%B1%D8%AC%D8%A8%D9%86%D8%A9-%D8%B4%D9%8A%D8%AF%D8%B1%D9%85%D8%AF%D8%AE%D9%86-%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD10%D9%82,In Stock,,2026-09-14 18:45:46.506560,
15,Seoudi Supermarket,Almarai Creamy Cheese - 500 g,205 EGP,,,Cheese & Labneh,,500.0,g,,EGP,https://seoudisupermarket.com/en/almarai-creamy-cheese-500-g,In Stock,,2026-09-14 18:45:46.506560,
16,Seoudi Supermarket,Almarai Triangle Cheese - 24 Pieces,104.95 EGP,,,Cheese & Labneh,,,,120 EGP,EGP,https://seoudisupermarket.com/en/almarai-triangle-cheese-24-pieces,In Stock,,2026-09-14 18:45:46.507556,- 13%
17,Seoudi Supermarket,Almarai Triangle Cheese - 16 Pieces,72.95 EGP,,,Cheese & Labneh,,,,80 EGP,EGP,https://seoudisupermarket.com/en/almarai-triangle-cheese-16-pieces,In Stock,,2026-09-14 18:45:46.508556,- 9%
18,Seoudi Supermarket,Almarai Triangle Cheese - 8 Pieces,38.95 EGP,,,Cheese & Labneh,,,,50 EGP,EGP,https://seoudisupermarket.com/en/almarai-triangle-cheese-8-pieces,In Stock,,2026-09-14 18:45:46.509557,- 22%
19,Seoudi Supermarket,Obour Land Gold Feta Cheese - 250 g,43.25 EGP,,,Cheese & Labneh,,250.0,g,51.25 EGP,EGP,https://seoudisupermarket.com/en/obour-land-gold-feta-cheese-250-g,In Stock,,2026-09-14 18:45:46.509557,- 16%
20,Seoudi Supermarket,Panda Gourmet Feta Cheese - 250 g,42.95 EGP,,,Cheese & Labneh,,250.0,g,,EGP,https://seoudisupermarket.com/en/panda-gourmet-feta-cheese-250-g,In Stock,,2026-09-14 18:45:46.510557,
21,Seoudi Supermarket,Juhayna Labneh with Tomato and Basil - 500 g,199.95 EGP,,,Cheese & Labneh,,500.0,g,,EGP,https://seoudisupermarket.com/en/juhayna-labneh-with-tomato-and-basil-500-g,In Stock,,2026-09-14 18:45:46.511556,
22,Seoudi Supermarket,Juhayna Labneh with Tomato and Basil - 250 g,120 EGP,,,Cheese & Labneh,,250.0,g,,EGP,https://seoudisupermarket.com/en/juhayna-labneh-with-tomato-and-basil-250-g,In Stock,,2026-09-14 18:45:46.512556,
23,Seoudi Supermarket,Juhayna Labneh with Olive Oil and Thyme - 500 g,199.95 EGP,,,Cheese & Labneh,,500.0,g,,EGP,https://seoudisupermarket.com/en/juhayna-labneh-with-olive-oil-and-thyme-500-g,In Stock,,2026-09-14 18:45:46.512556,
24,Seoudi Supermarket,Juhayna Labneh with Olive Oil and Thyme - 250 g,120 EGP,,,Cheese & Labneh,,250.0,g,,EGP,https://seoudisupermarket.com/en/juhayna-labneh-with-olive-oil-and-thyme-250-g,In Stock,,2026-09-14 18:45:46.513557,
25,Seoudi Supermarket,Almarai Feta Cheese with Edam Flavor - 250 g,25.95 EGP,,,Cheese & Labneh,,250.0,g,,EGP,https://seoudisupermarket.com/en/almarai-feta-cheese-with-edam-flavor-250-g,In Stock,,2026-09-14 18:45:46.514562,
26,Seoudi Supermarket,Yopolis Creamy Cheese with Onion - 225 g,88 EGP,,,Cheese & Labneh,,225.0,g,98 EGP,EGP,https://seoudisupermarket.com/en/yopolis-creamy-cheese-with-onion-225-g,In Stock,,2026-09-14 18:45:46.515557,- 10%
27,Seoudi Supermarket,Yopolis Creamy Cheese with Tomato - 225 g,88 EGP,,,Cheese & Labneh,,225.0,g,98 EGP,EGP,https://seoudisupermarket.com/en/yopolis-creamy-cheese-with-tomato-225-g,In Stock,,2026-09-14 18:45:46.516556,- 10%
28,Seoudi Supermarket,Gurbet Roquefort Cheese - 100 g,120 EGP,,,Cheese & Labneh,,100.0,g,,EGP,https://seoudisupermarket.com/en/gurbet-roquefort-cheese-100-g,In Stock,,2026-09-14 18:45:46.517555,
29,Seoudi Supermarket,Old Roumy Cheese,39.38 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/old-roumy-cheese,In Stock,,2026-09-14 18:45:46.518554,
30,Seoudi Supermarket,Natural Yellow Cheddar Cheese,49.38 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/yellow-cheddar-cheese,In Stock,,2026-09-14 18:45:46.518554,
31,Seoudi Supermarket,Dutch Gouda Cheese,63.13 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/dutch-gouda-cheese,In Stock,,2026-09-14 18:45:46.519554,
32,Seoudi Supermarket,Dutch Edam Cheese,71.13 EGP,,,Cheese & Labneh,,0.125,Kg,,EGP,https://seoudisupermarket.com/en/%D8%AC%D8%A8%D9%86%D8%A9-%D9%81%D9%84%D9%85%D9%86%D9%83-%D9%87%D9%88%D9%84%D9%86%D8%AF%D9%89-%D9%88%D8%B2%D9%86-2005459000000,In Stock,,2026-09-14 18:45:46.520555,
