scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Rich Land Semolina Flour - 1 kg,39.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%B1%D9%8A%D8%AA%D8%B4-%D9%84%D8%A7%D9%86%D8%AF-%D8%AF%D9%82%D9%8A%D9%82-%D8%B3%D9%85%D9%8A%D8%AF-1-%D9%83%D8%AC%D9%85,In Stock,,2026-09-14 18:32:20.087972,
2,Seoudi Supermarket,Rich Land Whole Wheat Flour - 1 kg,34.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%B1%D9%8A%D8%AA%D8%B4-%D9%84%D8%A7%D9%86%D8%AF-%D8%AF%D9%82%D9%8A%D9%82-%D8%AD%D8%A8%D8%A9-%D9%83%D8%A7%D9%85%D9%84%D8%A91%D9%83%D8%AC%D9%85,In Stock,,2026-09-14 18:32:20.092971,
3,Seoudi Supermarket,Rich Land Rice - 5 kg,199.95 EGP,,,Flour,,5.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%B1%D9%8A%D8%AA%D8%B4-%D9%84%D8%A7%D9%86%D8%AF-%D8%A7%D8%B1%D8%B2-5-%D9%83%D8%AC%D9%85,In Stock,,2026-09-14 18:32:20.095971,
4,Seoudi Supermarket,Rich Land All-Purpose Flour - 1 kg,28.75 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%B1%D9%8A%D8%AA%D8%B4-%D9%84%D8%A7%D9%86%D8%AF-%D8%AF%D9%82%D9%8A%D9%82-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A7%D8%BA%D8%B1%D8%A7%D8%B61%D9%83,In Stock,,2026-09-14 18:32:20.097971,
5,Seoudi Supermarket,Rich Land Rice - 1 kg,39.95 EGP,,,Flour,,1.0,kg,,EGP,https://seoudisupermarket.com/en/%D8%B1%D9%8A%D8%AA%D8%B4-%D9%84%D8%A7%D9%86%D8%AF-%D8%A7%D8%B1%D8%B2-1-%D9%83%D8%AC%D9%85,In Stock,,2026-09-14 18:32:20.098970,
6,Seoudi Supermarket,Dreem Gluten-Free Vanilla Muffin Mix - 450 g,115.25 EGP,,,Flour,,450.0,g,,EGP,https://seoudisupermarket.com/en/dreem-glutenfree-vanilla-muffin-mix-450-g,In Stock,,2026-09-14 18:32:20.100971,
7,Seoudi Supermarket,Cook's Mug Cake Mix - 65 g,18.25 EGP,,,Flour,,65.0,g,,EGP,https://seoudisupermarket.com/en/cooks-mug-cake-mix-65-g,In Stock,,2026-09-14 18:32:20.102970,
8,Seoudi Supermarket,Dreem Strawberry Cake Mix - 400 g,51.45 EGP,,,Flour,,400.0,g,56.75 EGP,EGP,https://seoudisupermarket.com/en/dreem-strawberry-cake-mix-400-g,In Stock,,2026-09-14 18:32:20.104971,- 9%
9,Seoudi Supermarket,Dreem Coconut Cake Mix - 400 g,51.45 EGP,,,Flour,,400.0,g,56.75 EGP,EGP,https://seoudisupermarket.com/en/dreem-coconut-cake-mix-400-g,In Stock,,2026-09-14 18:32:20.106970,- 9%
10,Seoudi Supermarket,Holw El Sham Chocolate Cake Mix - 400 g,57.45 EGP,,,Flour,,400.0,g,69.45 EGP,EGP,https://seoudisupermarket.com/en/holw-el-sham-chocolate-cake-mix-400-g,In Stock,,2026-09-14 18:32:20.108971,- 17%
11,Seoudi Supermarket,Holw El Sham Vanilla Cake Mix - 400 g,57.45 EGP,,,Flour,,400.0,g,69.45 EGP,EGP,https://seoudisupermarket.com/en/holw-el-sham-vanilla-cake-mix-400-g,In Stock,,2026-09-14 18:32:20.110970,- 17%
12,Seoudi Supermarket,Holw El Sham Orange Cake Mix - 400 g,57.45 EGP,,,Flour,,400.0,g,69.45 EGP,EGP,https://seoudisupermarket.com/en/holw-el-sham-orange-cake-mix-400-g,In Stock,,2026-09-14 18:32:20.112970,- 17%
13,Seoudi Supermarket,Cook's Cream Caramel Mix - 103 g,19.45 EGP,,,Flour,,103.0,g,,EGP,https://seoudisupermarket.com/en/cooks-cream-caramel-mix-103-g,In Stock,,2026-09-14 18:32:20.114971,
14,Seoudi Supermarket,Dreem Cream Caramel - 184 g,38.95 EGP,,,Flour,,184.0,g,41.75 EGP,EGP,https://seoudisupermarket.com/en/dreem-cream-caramel-184-g,In Stock,,2026-09-14 18:32:20.117970,- 7%
15,Seoudi Supermarket,Dreem Whipped Topping Cream - 180 g,71.95 EGP,,,Flour,,180.0,g,77.75 EGP,EGP,https://seoudisupermarket.com/en/dreem-whipped-topping-cream-180-g,In Stock,,2026-09-14 18:32:20.120970,- 7%
16,Seoudi Supermarket,Dreem Cream Caramel - 92 g,21.45 EGP,,,Flour,,92.0,g,,EGP,https://seoudisupermarket.com/en/dreem-cream-caramel-92-g,In Stock,,2026-09-14 18:32:20.123969,
17,Seoudi Supermarket,Holw El Sham Basbousa with Coconut - 380 g,39.95 EGP,,,Flour,,380.0,g,44.95 EGP,EGP,https://seoudisupermarket.com/en/holw-el-sham-basbousa-with-coconut-380-g,In Stock,,2026-09-14 18:32:20.125975,- 11%
18,Seoudi Supermarket,Dreem Orange & Vanilla - 5 g,5.75 EGP,,,Flour,,5.0,g,,EGP,https://seoudisupermarket.com/en/dreem-orange-vanilla-5-g,In Stock,,2026-09-14 18:32:20.127970,
