scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Afia Sunflower Oil - 4.5 Liters,474.95 EGP,,,Oil,,4.5,L,,EGP,https://seoudisupermarket.com/en/afia-sunflower-oil-4-5-liters,In Stock,,2026-09-14 18:21:26.070169,
2,Seoudi Supermarket,"Wadi Food Virgin Olive Oil, 1 Liter + 500 ml",824.75 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/wadi-food-virgin-olive-oil-1-liter-with-500-ml,In Stock,,2026-09-14 18:21:26.084169,
3,Seoudi Supermarket,Seoudi Extra Virgin Olive Oil - 750 ml,699 EGP,,,Oil,,750.0,ml,,EGP,https://seoudisupermarket.com/en/seoudi-extra-virgin-olive-oil-750-ml,In Stock,,2026-09-14 18:21:26.085170,
4,Seoudi Supermarket,Seoudi Extra Virgin Olive Oil - 250 ml,279 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/seoudi-extra-virgin-olive-oil-250-ml,In Stock,,2026-09-14 18:21:26.086169,
5,Seoudi Supermarket,"Zitouna Extra Virgin Olive Oil, Plastic Bottle - 1 Liter",609.95 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/zitouna-extra-virgin-olive-oil-plastic-bottle-1-liter,In Stock,,2026-09-14 18:21:26.088168,
6,Seoudi Supermarket,King Rice Bran Oil - 2 Liter,519.95 EGP,,,Oil,,2.0,L,,EGP,https://seoudisupermarket.com/en/king-rice-bran-oil-2-liter,In Stock,,2026-09-14 18:21:26.089171,
7,Seoudi Supermarket,Qaleya Cooking Oil - 700 ml,57 EGP,,,Oil,,700.0,ml,64 EGP,EGP,https://seoudisupermarket.com/en/qaleya-cooking-oil-700-ml,In Stock,,2026-09-14 18:21:26.090170,- 11%
8,Seoudi Supermarket,Marvel Greek Olive Oil - 500 ml,399.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/marvel-greek-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.091172,
9,Seoudi Supermarket,Crystal Corn Oil - 1.6 Liter,210.25 EGP,,,Oil,,1.6,L,,EGP,https://seoudisupermarket.com/en/crystal-corn-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.092168,
10,Seoudi Supermarket,"Zitouna Excellent Olive Oil, Glass Bottle - 500 ml",327.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/zitouna-excellent-olive-oil-glass-bottle-500-ml,In Stock,,2026-09-14 18:21:26.093173,
11,Seoudi Supermarket,Afia Sunflower Oil - 700 ml,77.25 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/afia-sunflower-oil-700-ml,In Stock,,2026-09-14 18:21:26.094168,
12,Seoudi Supermarket,Crystal Sunflower Oil - 2.2 Liter,237.25 EGP,,,Oil,,2.2,L,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-2-2-liter,In Stock,,2026-09-14 18:21:26.095170,
13,Seoudi Supermarket,Karma Foods Flaxseed Oil - 250 ml,84.95 EGP,,,Oil,,250.0,ml,,EGP,https://seoudisupermarket.com/en/karma-foods-flaxseed-oil-250-ml,In Stock,,2026-09-14 18:21:26.096169,
14,Seoudi Supermarket,Wadi Food Virgin Olive Oil - 500 ml,394.95 EGP,,,Oil,,500.0,ml,446.95 EGP,EGP,https://seoudisupermarket.com/en/wadi-food-virgin-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.097169,- 12%
15,Seoudi Supermarket,Wadi Food Extra Virgin Olive Oil - 500 ml,424.45 EGP,,,Oil,,500.0,ml,482.45 EGP,EGP,https://seoudisupermarket.com/en/%D9%88%D8%A7%D8%AF%D9%89-%D9%81%D9%88%D8%AF-%D8%B2%D9%8A%D8%AA-%D8%B2%D9%8A%D8%AA%D9%88%D9%86-%D9%85%D9%85%D8%AA%D8%A7%D8%B2500%D9%85%D9%84-6223000190630,In Stock,,2026-09-14 18:21:26.097169,- 12%
16,Seoudi Supermarket,Crystal Sunflower Oil Spray - 200 ml,24.5 EGP,,,Oil,,200.0,ml,,EGP,https://seoudisupermarket.com/en/crystal-sunflower-oil-spray-200-ml,In Stock,,2026-09-14 18:21:26.098676,
17,Seoudi Supermarket,Hedaya Mixed Oil - 4.5 Liters,366.75 EGP,,,Oil,,4.5,L,,EGP,https://seoudisupermarket.com/en/hedaya-cooking-oil-4-5-liter,In Stock,,2026-09-14 18:21:26.099687,
18,Seoudi Supermarket,Hedeya Cooking Oil - 700 ml,57 EGP,,,Oil,,700.0,ml,64 EGP,EGP,https://seoudisupermarket.com/en/hedeya-cooking-oil-700-ml,In Stock,,2026-09-14 18:21:26.100684,- 11%
19,Seoudi Supermarket,iliada Extra Virgin Olive Oil - 500 ml,593.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/iliada-extra-virgin-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.101685,
20,Seoudi Supermarket,Khoshala Extra Virgin Olive Oil - 500 ml,354.95 EGP,,,Oil,,500.0,ml,,EGP,https://seoudisupermarket.com/en/khoshala-extra-virgin-olive-oil-500-ml,In Stock,,2026-09-14 18:21:26.102685,
21,Seoudi Supermarket,Slite Sunflower Oil - 2.1 Liter,214.25 EGP,,,Oil,,2.1,L,,EGP,https://seoudisupermarket.com/en/slite-sunflower-oil-2-1-liter,In Stock,,2026-09-14 18:21:26.102685,
22,Seoudi Supermarket,Afia Corn Plus Oil - 1.6 Liter,201 EGP,,,Oil,,1.6,L,,EGP,https://seoudisupermarket.com/en/afia-corn-plus-oil-1-6-liter,In Stock,,2026-09-14 18:21:26.103684,
23,Seoudi Supermarket,Borges Extra Virgin Olive Oil - 1 Liter,907.95 EGP,,,Oil,,1.0,L,,EGP,https://seoudisupermarket.com/en/borges-extra-virgin-olive-oil-1-liter,Out of Stock,,2026-09-14 18:21:26.104684,
24,Seoudi Supermarket,Slite Sunflower Oil - 675 ml,70.95 EGP,,,Oil,,675.0,ml,,EGP,https://seoudisupermarket.com/en/slite-sunflower-oil-675-ml,In Stock,,2026-09-14 18:21:26.105684,
25,Seoudi Supermarket,Afia Plus Corn Oil - 700 ml,89.75 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/afia-plus-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.105684,
26,Seoudi Supermarket,Crystal Corn Oil - 700 ml,95.25 EGP,,,Oil,,700.0,ml,,EGP,https://seoudisupermarket.com/en/crystal-corn-oil-700-ml,In Stock,,2026-09-14 18:21:26.106685,
