scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Venecia Small Rings Pasta - 1 kg,49.95 EGP,,,Pasta,,1,kg,,EGP,https://seoudisupermarket.com/en/venecia-small-rings-pasta-1-kg,In Stock,,2026-09-14 18:35:22.924692,
2,Seoudi Supermarket,Al Doha Mac & Cheese with Jalapeno - 175 g,32.95 EGP,,,Pasta,,175,g,36.45 EGP,EGP,https://seoudisupermarket.com/en/al-doha-mac-cheese-with-jalapeno-175-g,In Stock,,2026-09-14 18:35:22.928692,- 10%
3,Seoudi Supermarket,Al Doha Mebakbaka Pasta - 180 g,32.95 EGP,,,Pasta,,180,g,35.95 EGP,EGP,https://seoudisupermarket.com/en/al-doha-mbakbaka-pasta-180-g,In Stock,,2026-09-14 18:35:22.929693,- 8%
4,Seoudi Supermarket,Al Doha Truffle Pasta - 165 g,35.95 EGP,,,Pasta,,165,g,39.45 EGP,EGP,https://seoudisupermarket.com/en/al-doha-truffle-pasta-165-g,In Stock,,2026-09-14 18:35:22.930691,- 9%
5,Seoudi Supermarket,Ankara Penne Pasta - 400 g,34.95 EGP,,,Pasta,,400,g,37.95 EGP,EGP,https://seoudisupermarket.com/en/ankara-penne-pasta-400-g,In Stock,,2026-09-14 18:35:22.932693,- 8%
6,Seoudi Supermarket,Pastazara Spaghetti Pasta N.11 - 500 g,109.95 EGP,,,Pasta,,500,g,,EGP,https://seoudisupermarket.com/en/pastazara-spaghetti-pasta-n-11-500-g,In Stock,,2026-09-14 18:35:22.933692,
7,Seoudi Supermarket,Italiano Lasagna Pasta - 400 g,45 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/italiano-lasagna-pasta-400-g,In Stock,,2026-09-14 18:35:22.934690,
8,Seoudi Supermarket,Ankara Fusilli Pasta - 400 g,34.95 EGP,,,Pasta,,400,g,37.95 EGP,EGP,https://seoudisupermarket.com/en/ankara-fusilli-pasta-400-g,In Stock,,2026-09-14 18:35:22.936692,- 8%
9,Seoudi Supermarket,El Maleka Small Rings Pasta - 1 kg,35 EGP,,,Pasta,,1,kg,,EGP,https://seoudisupermarket.com/en/el-maleka-small-rings-pasta-1-kg,In Stock,,2026-09-14 18:35:22.937691,
10,Seoudi Supermarket,Hawaa Rings Pasta - 400 g,15.25 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/hawaa-rings-pasta-400-g,In Stock,,2026-09-14 18:35:22.939692,
11,Seoudi Supermarket,Hawaa Small Rings Pasta - 400 g,15.25 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/hawaa-small-rings-pasta-400-g,In Stock,,2026-09-14 18:35:22.940692,
12,Seoudi Supermarket,Ankara Elbows Pasta - 400 g,34.95 EGP,,,Pasta,,400,g,37.95 EGP,EGP,https://seoudisupermarket.com/en/ankara-elbows-pasta-400-g,In Stock,,2026-09-14 18:35:22.941694,- 8%
13,Seoudi Supermarket,El Maleka Elbows Pasta - 1 kg,35 EGP,,,Pasta,,1,kg,,EGP,https://seoudisupermarket.com/en/el-maleka-elbows-pasta-1-kg,In Stock,,2026-09-14 18:35:22.943692,
14,Seoudi Supermarket,Hawaa Elbows Pasta - 400 g,15.25 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/hawaa-elbows-pasta-400-g,In Stock,,2026-09-14 18:35:22.944691,
15,Seoudi Supermarket,Ankara Vermicelli - 400 g,34.95 EGP,,,Pasta,,400,g,37.95 EGP,EGP,https://seoudisupermarket.com/en/ankara-vermicelli-400-g,In Stock,,2026-09-14 18:35:22.945692,- 8%
16,Seoudi Supermarket,Hawaa Vermicelli - 400 g,15.25 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/hawaa-vermicelli-400-g,In Stock,,2026-09-14 18:35:22.947693,
17,Seoudi Supermarket,Ankara Risoni - 400 g,34.95 EGP,,,Pasta,,400,g,37.95 EGP,EGP,https://seoudisupermarket.com/en/ankara-risoni-400-g,In Stock,,2026-09-14 18:35:22.948690,- 8%
18,Seoudi Supermarket,Italiano Cannelloni - 250 g,43 EGP,,,Pasta,,250,g,,EGP,https://seoudisupermarket.com/en/italiano-cannelloni-250-g,In Stock,,2026-09-14 18:35:22.949692,
19,Seoudi Supermarket,Italiano Big Shells Pasta - 250 g,43 EGP,,,Pasta,,250,g,,EGP,https://seoudisupermarket.com/en/italiano-big-shells-pasta-250-g,In Stock,,2026-09-14 18:35:22.950691,
20,Seoudi Supermarket,Lino Gluten-Free Oat Pasta Vermicelli - 250 g,69.95 EGP,,,Pasta,,250,g,84.95 EGP,EGP,https://seoudisupermarket.com/en/lino-gluten-free-oat-pasta-vermicelli-250-g,In Stock,,2026-09-14 18:35:22.951693,- 18%
21,Seoudi Supermarket,Lino Oat Small Rings Pasta - 250 g,69.95 EGP,,,Pasta,,250,g,84.95 EGP,EGP,https://seoudisupermarket.com/en/lino-oat-small-rings-pasta-250-g,In Stock,,2026-09-14 18:35:22.952693,- 18%
22,Seoudi Supermarket,Regina Rigatoni Pasta - 400 g,30.75 EGP,,,Pasta,,400,g,,EGP,https://seoudisupermarket.com/en/regina-rigatoni-pasta-400-g,In Stock,,2026-09-14 18:35:22.954691,
23,Seoudi Supermarket,Al Doha Easy Pasta with Mac and Cheese Sauce - 175 g,34.95 EGP,,,Pasta,,175,g,,EGP,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-mac-and-cheese-sauce-175-g,In Stock,,2026-09-14 18:35:22.955692,
24,Seoudi Supermarket,Al Doha Easy Pasta with Mushroom Sauce - 158 g,24.45 EGP,,,Pasta,,158,g,,EGP,https://seoudisupermarket.com/en/al-doha-easy-pasta-mushroom-sauce-158-g,In Stock,,2026-09-14 18:35:22.956692,
25,Seoudi Supermarket,Al Doha Easy Pasta with Creamy Pesto Sauce - 158 g,24.45 EGP,,,Pasta,,158,g,,EGP,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-creamy-pesto-sauce-158-g,In Stock,,2026-09-14 18:35:22.957691,
26,Seoudi Supermarket,Al Doha Easy Pasta with Alfredo Sauce - 158 g,25.45 EGP,,,Pasta,,158,g,,EGP,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-alfredo-sauce-158-g,In Stock,,2026-09-14 18:35:22.958691,
27,Seoudi Supermarket,Al Doha Easy Pasta with Italian Tomato Sauce - 185 g,27.45 EGP,,,Pasta,,185,g,,EGP,https://seoudisupermarket.com/en/al-doha-easy-pasta-with-italian-tomato-sauce-185-g,In Stock,,2026-09-14 18:35:22.960692,
28,Seoudi Supermarket,Delicia Masreya Linguini Pasta - 1 kg,48.95 EGP,,,Pasta,,1,kg,,EGP,https://seoudisupermarket.com/en/delicia-masreya-linguini-pasta-1-kg,In Stock,,2026-09-14 18:35:22.961690,
29,Seoudi Supermarket,Delicia Masreya Fusilli Pasta - 1 kg,48.95 EGP,,,Pasta,,1,kg,,EGP,https://seoudisupermarket.com/en/delicia-masreya-fusilli-pasta-1-kg,In Stock,,2026-09-14 18:35:22.962694,
