scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Rice - 1 kg,35.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,40.95 EGP,EGP,https://seoudisupermarket.com/en/al-doha-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,- 12%
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Rice - 5 kg,174.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,204 EGP,EGP,https://seoudisupermarket.com/en/al-doha-rice-5-kg,In Stock,N/A,2026-09-14 18:09:13,- 14%
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,"Al Doha Alexanderina Koshary, Easy Rice Edition - 320 g",36.75 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/al-doha-alexandrina-koshary-320-g,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Oriental Rice Mix - 324 g,33.45 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/al-doha-oriental-rice-mix-324-g,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,El Saqr Basmati Rice - 1 kg,74.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,81.95 EGP,EGP,https://seoudisupermarket.com/en/el-saqr-basmati-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,- 9%
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Kohinoor Extra Fine White Basmati Rice - 1 kg,174.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/kohinoor-extra-fine-white-basmati-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Shahy Basmati Rice - 5 kg,759.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/shahy-basmati-rice-5-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Marvel Golden Basmati Rice - 1 kg,119.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,136.75 EGP,EGP,https://seoudisupermarket.com/en/marvel-golden-basmati-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,- 12%
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,AlWalaem Golden Basmati Rice - 5 kg,789.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/alwalaem-golden-basmati-rice-5-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Al Doha Sayadia Rice Mix - 327 g,31.45 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/al-doha-sayadia-rice-mix-327-g,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Shahy Egyptian Rice - 1 kg,40.45 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/shahy-egyptian-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Abu Bint Golden Parboiled Rice - 1 kg,155.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/abu-bint-golden-parboiled-rice-1-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
cdcdcde1-eb29-462b-a6c9-b8aa6f0b8762,Seoudi Supermarket,Kohinoor Basmati Rice Gluten Free - 1 kg,184.95 EGP,N/A,N/A,Rice,N/A,N/A,N/A,N/A,EGP,https://seoudisupermarket.com/en/kohinoor-basmati-rice-gluten-free-1-kg,In Stock,N/A,2026-09-14 18:09:13,N/A
