scrape_id,store,product_name,current_price,brand,product_type,category,subcategory,weight_value,weight_unit,original_price,currency,product_url,availability,search_term_ar,scraped_at,discount
1,Seoudi Supermarket,Ahmad Tea English Tea N.1 Tagged Teabags - 20 Pieces,84.95 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/ahmad-tea-english-tea-n-1-tagged-teabags-20-pieces,In Stock,,2026-09-14 18:42:16.476393,
2,Seoudi Supermarket,Rabea Kharaz Tea - 225 g,84.95 EGP,,,Tea,,225.0,g,,EGP,https://seoudisupermarket.com/en/rabea-kharaz-tea-225-g,In Stock,,2026-09-14 18:42:16.480391,
3,Seoudi Supermarket,"Ahmad Tea Vanilla, Cinnamon & Apple Tea - 20 Tea Bags",94.75 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/ahmad-tea-vanilla-cinnamon-apple-tea-20-tea-bags,In Stock,,2026-09-14 18:42:16.481390,
4,Seoudi Supermarket,Lipton Tea - 100 Tea Bags + Free Gift,119.95 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/lipton-tea-100-tea-bags-free-gift,In Stock,,2026-09-14 18:42:16.482392,
5,Seoudi Supermarket,Rabea Green Tea - 25 Teabags,39.95 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/rabea-green-tea-25-teabags,In Stock,,2026-09-14 18:42:16.483391,
6,Seoudi Supermarket,Rabea Green Tea - 50 Teabags,73.95 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/rabea-green-tea-50-teabags,In Stock,,2026-09-14 18:42:16.483391,
7,Seoudi Supermarket,AlAttar Tumeric & Ginger Green Tea - 20 Sachets,139.95 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/alattar-tumeric-ginger-green-tea-20-sachets,In Stock,,2026-09-14 18:42:16.484389,
8,Seoudi Supermarket,Lipton Green Tea with Mint - 50 Bags,67.75 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/lipton-green-tea-with-mint-50-bags,In Stock,,2026-09-14 18:42:16.485390,
9,Seoudi Supermarket,Lipton Non-Bitter Green Tea - 50 Bags,67.75 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/lipton-non-bitter-green-tea-50-bags,In Stock,,2026-09-14 18:42:16.486390,
10,Seoudi Supermarket,Brooke Bond Red Label Loose Tea - 40 g,9.45 EGP,,,Tea,,40.0,g,,EGP,https://seoudisupermarket.com/en/brooke-bond-red-label-loose-tea-40-g,In Stock,,2026-09-14 18:42:16.487389,
11,Seoudi Supermarket,Royal Black Tea with Berries - 20 Bags,58.45 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/royal-black-tea-with-berries-20-bags,In Stock,,2026-09-14 18:42:16.488391,
12,Seoudi Supermarket,Royal Black Tea with Cloves - 20 Bags,35.75 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/royal-black-tea-with-cloves-20-bags,In Stock,,2026-09-14 18:42:16.489391,
13,Seoudi Supermarket,Royal Black Tea with Cardamom - 20 Bags,42.75 EGP,,,Tea,,,,,EGP,https://seoudisupermarket.com/en/royal-black-tea-with-cardamom-20-bags,In Stock,,2026-09-14 18:42:16.490391,
