scrape_id,store,product_name,brand,current_price,original_price,currency,product_type,category,subcategory,weight_value,weight_unit,discount,product_url,availability,scraped_at
1,Seoudi Supermarket,Americana Tuna Chunks in Oil,Americana,55.95,,EGP,Canned Food,Canned Food,Canned Fish,140,g,,https://seoudisupermarket.com/en/americana-tuna-chunks-in-oil-140-g,In Stock,9/14/2026 18:55
2,Seoudi Supermarket,Sunshine Spicy Tuna Slices,Sunshine,84.95,,EGP,Canned Food,Canned Food,Canned Fish,120,g,,https://seoudisupermarket.com/en/sunshine-spicy-tuna-slices-120-g,In Stock,9/14/2026 18:55
3,Seoudi Supermarket,Seoudi Yellowfin Tuna Solid in Oil & Brine - 3 Pieces,Seoudi,237.45,,EGP,Canned Food,Canned Food,Canned Fish,185,g,,https://seoudisupermarket.com/en/seoudi-yellowfin-tuna-solid-in-oil-and-brine-185g-3-pieces,In Stock,9/14/2026 18:55
4,Seoudi Supermarket,Seoudi Yellowfin Tuna Chunks in Oil & Brine - 3 Pieces,Seoudi,210.45,,EGP,Canned Food,Canned Food,Canned Fish,170,g,,https://seoudisupermarket.com/en/seoudi-yellowfin-tuna-chunks-in-oil-and-brine-170g-3-pieces,In Stock,9/14/2026 18:55
5,Seoudi Supermarket,Cava Smoked Tuna Chunks,Cava,87.95,,EGP,Canned Food,Canned Food,Canned Fish,170,g,,https://seoudisupermarket.com/en/cava-smoked-tuna-chunks-170-g,In Stock,9/14/2026 18:55
6,Seoudi Supermarket,Dolphin Tuna Chunks Diet Easy Open,Dolphin,76.45,,EGP,Canned Food,Canned Food,Canned Fish,170,g,,https://seoudisupermarket.com/en/dolphin-tuna-chunks-diet-easy-open-170-g,In Stock,9/14/2026 18:55
7,Seoudi Supermarket,Seoudi Yellowfin Tuna Solid in Oil & Brine,Seoudi,87.95,,EGP,Canned Food,Canned Food,Canned Fish,185,g,,https://seoudisupermarket.com/en/seoudi-yellowfin-tuna-solid-in-oil-brine-185-g,In Stock,9/14/2026 18:55
8,Seoudi Supermarket,"Seoudi Yellowfin Tuna Solid in Brine, Light",Seoudi,87.95,,EGP,Canned Food,Canned Food,Canned Fish,185,g,,https://seoudisupermarket.com/en/seoudi-yellowfin-tuna-solid-in-brine-light-185-g,In Stock,9/14/2026 18:55
9,Seoudi Supermarket,Seoudi Yellowfin Tuna Chunks in Oil & Brine,Seoudi,77.95,,EGP,Canned Food,Canned Food,Canned Fish,170,g,,https://seoudisupermarket.com/en/seoudi-yellowfin-tuna-chunks-in-oil-brine-170-g,In Stock,9/14/2026 18:55
10,Seoudi Supermarket,Cava Tuna Solid in Olive Oil,Cava,90.95,,EGP,Canned Food,Canned Food,Canned Fish,185,g,,https://seoudisupermarket.com/en/cava-tuna-solid-in-olive-oil-185-g,In Stock,9/14/2026 18:55
